epoch,train_loss,train_mIoU,train_f1,train_recall,train_precision,valid_loss,valid_mIoU,valid_f1,valid_recall,valid_precision
1,1.4649069518656344,0.2686034815952098,0.384907151479019,0.48998357729457404,0.4313294973850016,1.4311571955680846,0.3378456002614893,0.47014928916993515,0.5868507872348946,0.5121455085587521
2,1.4249347577223908,0.35425379060138457,0.47895706769093227,0.5311587620366478,0.579352155819776,1.4068077206611633,0.41937644294725696,0.5485523460365204,0.6157150850427576,0.630727993543504
3,1.4144486736606907,0.4010014694125423,0.5242330512887206,0.567016860177774,0.640283888037137,1.4077626824378968,0.43621122972938703,0.5684225994730139,0.7145968256733098,0.5975767915789251
4,1.4051123873607532,0.4161178825957654,0.5313709235451902,0.5640783796784206,0.667557339431491,1.4038129806518556,0.37517183049351316,0.4874731923681489,0.4630949032854016,0.735771395603366
5,1.4037992197114069,0.43239898297833684,0.546412699742917,0.5872959313434974,0.6651118116405884,1.40155109167099,0.36890952829394885,0.4646546285382621,0.42477523900911623,0.7501949668694905
6,1.3970011569358207,0.4575751121606395,0.571446204975832,0.6141627129538694,0.6921094144243481,1.4078490018844605,0.43789569906325454,0.5608765833691426,0.7350548783112295,0.551252010010667
7,1.3961680724814132,0.4683217294585372,0.5789346944283761,0.6146440298547274,0.7055258164221574,1.3905870914459229,0.4523656382449384,0.5584384992064378,0.5558381137451771,0.7815066809394254
8,1.3842486143112183,0.5163918705027786,0.6258497952078134,0.6624867969801835,0.7222692973900806,1.3896080493927,0.43961343925553364,0.5367390579496679,0.5476993265839118,0.7568164727879844
9,1.3865979829350032,0.5077538903646508,0.6175421650339574,0.6566919676441757,0.721349781596779,1.4295955061912538,0.4370919287660964,0.570957816291591,0.8693033275704878,0.4809710981399721
10,1.390160447842366,0.4992825780280558,0.6083513268269286,0.6499207633235474,0.7254423601113246,1.3806753158569336,0.5194714280358751,0.6296833695894851,0.6775140049022993,0.7522841686284855
11,1.3876373397337425,0.5357383613752436,0.6420723418646065,0.6875333780295466,0.7436057014628443,1.3841395020484923,0.5149876732367697,0.6168024424187708,0.60183605847163,0.8041104227211271
12,1.375564741121756,0.5807340311700662,0.6868307868510211,0.7164688937177048,0.7777410245909107,1.3783833146095277,0.5478662922924376,0.6578027527921454,0.7145310528691681,0.7207187629267272
13,1.380268926556046,0.5875587553267083,0.6929001290600322,0.7337762638600246,0.7692980978551315,1.3790244817733766,0.5290204334078752,0.6354127015653595,0.6738694815569876,0.7626960181823945
14,1.3729640583734255,0.5980116466570857,0.7009189437195461,0.7321254719400274,0.7810590189190607,1.3809787273406982,0.5310925852072581,0.6354198962706281,0.6436546002503454,0.747511997327578
15,1.3695788222390253,0.6265155676764177,0.726780897621376,0.764206156763829,0.7903763869445155,1.3712348341941833,0.5765248542925567,0.6746809459260912,0.6925500267652508,0.7803355340347916
16,1.37315546177529,0.6292122615696312,0.7280966421605315,0.7693067831779549,0.7940377017809962,1.3847184777259827,0.5240887988289757,0.6237478730738772,0.6090519688231435,0.8135691294128341
17,1.365997011597092,0.6408496673914514,0.7387329932022884,0.7708042671588831,0.7991420680026396,1.3654815435409546,0.6037076296959927,0.7098621485045578,0.774365235273733,0.759104341235959
18,1.3662670061394975,0.6489771092017914,0.7483690296219714,0.7796120806604506,0.807028031229408,1.3867372870445251,0.49800450536469254,0.5869690116919177,0.5417699884688899,0.9073436266319626
19,1.3612588579590257,0.680546409600887,0.7755335864294244,0.8033943839268265,0.8248636263809821,1.3639179587364196,0.6343323716635021,0.7340989544168547,0.7866303427398755,0.7781112076163585
20,1.3626704699284322,0.6764896513503336,0.7726008416150802,0.8109600611090558,0.820545133221322,1.3704248428344727,0.5941542750304156,0.6892174481409693,0.6787089702125323,0.8499034978348676
21,1.3595997385076575,0.6873396729285564,0.7818769423269704,0.8129406328812648,0.8245210928883812,1.3639281153678895,0.6342708524906716,0.7296789216062891,0.7823893499187373,0.7631679063000716
22,1.3585743404723503,0.6940190947399125,0.7854955699677515,0.8174824810566663,0.8307818114704627,1.3734088301658631,0.5858133384101494,0.698050070860629,0.7774704372319181,0.720783284273217
23,1.3582233464395679,0.7028287781916791,0.7927054749710515,0.819296590950197,0.8412354504635011,1.3605405807495117,0.6581244473000927,0.7612413775980804,0.852500612241991,0.7657865852288708
24,1.358095641071732,0.6952991882936793,0.7876542263640236,0.8190429037982148,0.834796629962786,1.368512225151062,0.6324903112493574,0.7313192162132905,0.75419593562576,0.8386283682963087
