epoch,train_loss,train_mIoU,train_f1,train_recall,train_precision,valid_loss,valid_mIoU,valid_f1,valid_recall,valid_precision
1,1.531610124761408,0.3313205982017688,0.4528298544542671,0.599224286015592,0.49510638999972273,1.5053272088368734,0.3734671908644739,0.49935234087482466,0.5598766732207495,0.5911553676500461
2,1.492481926354495,0.39297091018097313,0.5119967453055952,0.583296368517334,0.6078296213740793,1.4793770551681518,0.4129554046251892,0.5449102934705627,0.7203984222921557,0.544652050889167
3,1.4697993917898697,0.43652101365476553,0.5597348904582489,0.6384257257257271,0.639975465765114,1.4528954744338989,0.46407420831487906,0.5956566660706105,0.6854459236349826,0.6389638467918727
4,1.4487851912325078,0.4802579175086112,0.5991027183295241,0.6675900657165728,0.6581378477589828,1.434407353401184,0.48776366942950283,0.6053468305585861,0.6480161936424856,0.6838827282574218
5,1.4331939166242427,0.5228749417782982,0.6375886365416137,0.7127213406324524,0.7036489212409385,1.4210829814275105,0.5296392316561379,0.6420362476037978,0.6456453717538351,0.7851407370161191
6,1.4218708125027744,0.5595336274389907,0.6700119398224293,0.7305220333848501,0.7374642629584227,1.4133421977361043,0.5602396394831345,0.678579712609686,0.810079108192625,0.6854359776338896
7,1.4071982860565186,0.6030554382878355,0.713265289107439,0.7772474604102182,0.7556663371379582,1.4011016607284545,0.5958308058409287,0.7082008186591898,0.7735058467458555,0.7766761217326876
8,1.4010212432254445,0.6153377155721227,0.7186760999752935,0.7730432748891249,0.7788389697615627,1.4004009246826172,0.5809146083322219,0.6937938390277079,0.7892537340843385,0.7204125419107652
9,1.3966875000433487,0.6232415387706912,0.729408346745496,0.7914362828465162,0.7700122829587046,1.3898325204849242,0.6141370165466223,0.7175457252537167,0.7746943029684985,0.7835030443930366
10,1.3883124806664207,0.656295060148995,0.7559551078618889,0.8061395119041593,0.8016564298354807,1.385290765762329,0.6513138099696124,0.7505715877787104,0.7782277346283794,0.8175109163826675
11,1.38242934292013,0.6696847231148496,0.7668492032818005,0.8149569922892284,0.813001901714628,1.378665534655253,0.6606253428923659,0.7596811692975861,0.8188788790258018,0.7941714054925283
12,1.3829271565784107,0.66708387513029,0.7641700425892857,0.8111538955735329,0.8106429986384355,1.370531185468038,0.6768107806270549,0.7784594482853638,0.8330766909097266,0.8151422601803551
13,1.375727477940646,0.6894514839359186,0.7841128845838925,0.83566167472466,0.8159736246794366,1.369986359278361,0.6904464569981983,0.7892351202966452,0.7871768797603752,0.8739281923122901
14,1.3753973950039258,0.6919469927307687,0.7872679038008187,0.8277506255687416,0.8281396301034282,1.3741816441218058,0.6304823139889042,0.7362929350560639,0.8702412325320412,0.712941758422944
15,1.3732175902886825,0.6970096336313755,0.7900889343704541,0.8369896572092111,0.8219703790808326,1.3589090347290038,0.7204121773174428,0.8129170355866004,0.8582839219665909,0.8221166214627506
16,1.372558010708202,0.7003062473905386,0.7926886699894876,0.8393344099775544,0.8256274646200235,1.3599821011225381,0.6857092887165367,0.7787138147008427,0.8095304918586907,0.8303923765627045
